cve_id,published
CVE-1999-0014,1998-01-21T05:00:00.000
CVE-1999-1487,1998-01-21T05:00:00.000
CVE-1999-0013,1998-01-22T05:00:00.000
CVE-1999-0125,1998-01-25T05:00:00.000
CVE-1999-0264,1998-01-27T05:00:00.000
CVE-1999-0087,1998-02-01T05:00:00.000
CVE-1999-0256,1998-02-01T05:00:00.000
CVE-1999-0296,1998-02-01T05:00:00.000
CVE-1999-0304,1998-02-01T05:00:00.000
CVE-1999-0305,1998-02-01T05:00:00.000
CVE-1999-0486,1998-02-01T05:00:00.000
CVE-1999-1445,1998-02-02T05:00:00.000
CVE-1999-0012,1998-02-06T05:00:00.000
CVE-1999-1269,1998-02-06T05:00:00.000
CVE-1999-0258,1998-02-13T05:00:00.000
CVE-1999-0225,1998-02-14T05:00:00.000
CVE-1999-1207,1998-02-18T05:00:00.000
CVE-1999-0323,1998-02-20T05:00:00.000
CVE-1999-1273,1998-02-20T05:00:00.000
CVE-1999-0290,1998-02-21T05:00:00.000
CVE-1999-1229,1998-02-25T05:00:00.000
CVE-1999-1486,1998-02-25T05:00:00.000
CVE-1999-0266,1998-03-01T05:00:00.000
CVE-1999-0320,1998-03-01T05:00:00.000
CVE-1999-0330,1998-03-01T05:00:00.000
CVE-1999-0502,1998-03-01T05:00:00.000
CVE-1999-0514,1998-03-01T05:00:00.000
CVE-1999-0795,1998-03-01T05:00:00.000
CVE-1999-1272,1998-03-01T05:00:00.000
CVE-1999-1407,1998-03-09T05:00:00.000
CVE-1999-1118,1998-03-11T05:00:00.000
CVE-1999-0060,1998-03-16T05:00:00.000
CVE-1999-1075,1998-03-18T05:00:00.000
CVE-1999-0960,1998-03-20T05:00:00.000
CVE-1999-0003,1998-04-01T05:00:00.000
CVE-1999-0098,1998-04-01T05:00:00.000
CVE-1999-0257,1998-04-01T05:00:00.000
CVE-1999-0507,1998-04-01T05:00:00.000
CVE-1999-0537,1998-04-01T05:00:00.000
CVE-1999-0551,1998-04-01T05:00:00.000
CVE-1999-1183,1998-04-02T05:00:00.000
CVE-1999-0270,1998-04-03T05:00:00.000
CVE-1999-1498,1998-04-06T04:00:00.000
CVE-1999-1505,1998-04-07T04:00:00.000
CVE-1999-0009,1998-04-08T04:00:00.000
CVE-1999-0010,1998-04-08T04:00:00.000
CVE-1999-0011,1998-04-08T04:00:00.000
CVE-1999-0190,1998-04-08T04:00:00.000
CVE-1999-1015,1998-04-08T04:00:00.000
CVE-1999-1040,1998-04-08T04:00:00.000
CVE-1999-1114,1998-04-08T04:00:00.000
CVE-1999-1501,1998-04-08T04:00:00.000
CVE-1999-1502,1998-04-08T04:00:00.000
CVE-1999-1503,1998-04-08T04:00:00.000
CVE-1999-1504,1998-04-08T04:00:00.000
CVE-1999-1499,1998-04-10T04:00:00.000
CVE-1999-1113,1998-04-14T04:00:00.000
CVE-1999-1390,1998-04-28T04:00:00.000
