ioc,ioc_type,malware,first_seen
5.230.69.118:8930,ip:port,Remcos,2026-06-14 19:45:13
46.246.82.18:8848,ip:port,DCRat,2026-06-14 19:45:04
43.133.164.200:4321,ip:port,AdaptixC2,2026-06-14 19:44:54
213.152.161.157:18856,ip:port,AsyncRAT,2026-06-14 19:44:12
209.99.185.96:1002,ip:port,AsyncRAT,2026-06-14 19:44:10
207.211.163.106:7443,ip:port,Unknown malware,2026-06-14 19:44:09
204.194.54.9:2682,ip:port,AsyncRAT,2026-06-14 19:44:06
182.23.2.163:26972,ip:port,Remcos,2026-06-14 19:43:44
172.245.195.233:14642,ip:port,Remcos,2026-06-14 19:43:36
163.245.196.102:5400,ip:port,BianLian,2026-06-14 19:43:31
161.97.166.38:6006,ip:port,AsyncRAT,2026-06-14 19:43:29
144.31.236.224:4509,ip:port,Remcos,2026-06-14 19:43:19
fsphwjzi.maharatmodiran.xyz,domain,ClearFake,2026-06-14 19:21:33
emqtqmnj.mabanishimi.xyz,domain,ClearFake,2026-06-14 18:52:45
cfwrfrqx.leaguejazire.com,domain,ClearFake,2026-06-14 18:16:18
ockpahmv.karbordriyaziyat.xyz,domain,ClearFake,2026-06-14 17:43:07
shrqj.mabanimashin.site,domain,ClearFake,2026-06-14 17:14:13
of8p7ob4.mururhesabdari.xyz,domain,ClearFake,2026-06-14 17:12:22
fcsulewd.karafarini.shop,domain,ClearFake,2026-06-14 17:11:12
npmc4uw2.zabanenglishanari.xyz,domain,ClearFake,2026-06-14 16:56:15
xntwroz.melbetkade.com,domain,ClearFake,2026-06-14 16:46:30
book-imagegallery.info,domain,Unknown Loader,2026-06-14 16:45:11
aaqgnsji.jam-jahani.com,domain,ClearFake,2026-06-14 16:38:09
ojblxlua.hugugtejarat4.xyz,domain,ClearFake,2026-06-14 16:05:53
38.46.13.178:65301,ip:port,ValleyRAT,2026-06-14 16:05:47
38.46.13.179:65302,ip:port,ValleyRAT,2026-06-14 16:05:47
rteutcjg.hugugtatbigi.xyz,domain,ClearFake,2026-06-14 15:33:01
103.47.83.115:443,ip:port,Cobalt Strike,2026-06-14 15:01:35
103.47.83.115:8080,ip:port,Cobalt Strike,2026-06-14 15:01:19
zrbhitjy.hugugmadanikatouzian.xyz,domain,ClearFake,2026-06-14 15:00:32
8.135.47.140:31002,ip:port,VShell,2026-06-14 15:00:14
8.135.47.140:31001,ip:port,VShell,2026-06-14 15:00:11
mxlsapwz.hugugmadani6.xyz,domain,ClearFake,2026-06-14 14:32:46
206.119.171.212:9999,ip:port,VShell,2026-06-14 14:00:20
101.32.241.197:8084,ip:port,VShell,2026-06-14 14:00:19
106.53.172.234:8123,ip:port,VShell,2026-06-14 14:00:19
lvtimaax.usoleamoozesh.xyz,domain,ClearFake,2026-06-14 13:56:21
sxzvcen2.shansline.com,domain,ClearFake,2026-06-14 13:50:07
ygyam.livefootba11.com,domain,ClearFake,2026-06-14 13:49:12
eviwuji.megaparikade.com,domain,ClearFake,2026-06-14 13:45:52
wbnggxoc.tractor11.com,domain,ClearFake,2026-06-14 13:23:40
https://agn-deco.ro/,url,Vidar,2026-06-14 13:15:03
4v96patx.vajename.xyz,domain,ClearFake,2026-06-14 12:55:27
cqtwbvlx.testranandegi.com,domain,ClearFake,2026-06-14 12:54:57
195.222.53.130:6431,ip:port,Remus,2026-06-14 12:25:44
http://fusesd.shop:6431,url,Remus,2026-06-14 12:25:43
xyxoieix.testpaye.xyz,domain,ClearFake,2026-06-14 12:22:52
104.253.79.245:3000,ip:port,Unknown malware,2026-06-14 12:21:20
196.251.107.114:24034,ip:port,Remcos,2026-06-14 12:20:50
5.101.81.227:8443,ip:port,PureLogs Stealer,2026-06-14 12:20:28
sekirolegion.duckdns.org,domain,Unknown Stealer,2026-06-14 12:17:27
ptlegion.duckdns.org,domain,Unknown Stealer,2026-06-14 12:17:27
http://sekirolegion.duckdns.org/api/endpoint.php,url,Unknown Stealer,2026-06-14 12:17:00
http://ptlegion.duckdns.org/api/endpoint.php,url,Unknown Stealer,2026-06-14 12:17:00
http://silentlegion.duckdns.org/gate/update.php,url,Unknown Stealer,2026-06-14 12:17:00
http://silentlegion.duckdns.org/gate/config.php,url,Unknown Stealer,2026-06-14 12:17:00
http://silentlegion.duckdns.org/gate/create.php,url,Unknown Stealer,2026-06-14 12:17:00
